,Unnamed: 0,word,syll,index,segment,quantity,stressed,ictus,duration,midpoint,f1,f2,fileid,performer
103,39,"sipa-sopa,",pa,1,a,1,0,x,0.1764711583356302,17.046585741668963,640.9126927176915,1580.3118944215971,18,MH
104,40,läbi,lä,0,æ,1,1,x,0.19915483482756,18.49181889728401,656.1997586045072,1274.383296949575,18,MH
105,41,läbi,bi,1,ɪ,1,0,refrain,0.2370781515607092,18.6922106319028,1045.3232609474835,1446.3429584247408,18,MH
106,42,laane,laa,0,aː,2,1,refrain,0.267246562330115,18.883557326219,1201.840870311978,1495.5213360926514,18,MH
107,43,laane,ne,1,e,1,0,refrain,0.19915483482756,18.98577529682342,817.6241946578366,1625.6710546395996,18,MH
108,44,lipa-lapa.,li,0,i,2,1,refrain,0.1257820009437296,19.040751525480687,879.2604093705684,1627.4070231163362,18,MH
109,45,lipa-lapa.,li,0,a,2,1,refrain,0.1418114715012279,19.36977240900123,587.224004295156,2070.713896534308,18,MH
110,46,lipa-lapa.,pa,1,a,1,0,refrain,0.1939139181215736,19.287074610662145,613.1799291067575,1955.2240678327407,18,MH
111,47,lipa-lapa.,pa,1,a,1,0,refrain,0.2031111895353916,19.60289502236708,641.2629677852742,2097.502444601166,18,MH
112,48,uppus,up,0,u,3,1,ambiguous,0.1163945398469152,21.162511410196167,1110.467323065158,1509.3914238977372,18,MH
113,49,uppus,pus,1,u,2,0,ambiguous,0.1392608069850496,21.35717352290265,503.8813610713962,2061.721170276297,18,MH
114,50,ojasse,o,0,o,1,1,ambiguous,0.1953060922855058,21.549706791835856,721.5787425036792,1256.1864353747062,18,MH
115,51,ojasse,jas,1,ɑ,2,0,ambiguous,0.127053457007058,21.637893380476445,368.5728037828338,1315.5917232115412,18,MH
116,52,vahele,va,0,a,1,1,refrain,0.239837077963898,24.079278559688643,925.3319646802788,1576.874986728403,18,MH
117,53,vahele,he,1,ɛ,1,0,refrain,0.2362798951458771,24.239374912422456,816.4898780427789,1178.1060241221105,18,MH
118,54,lumi,lu,0,u,1,1,refrain,0.2048990575630398,25.962970905498118,620.8796166738393,1706.73263926881,18,MH
119,55,lumi,mi,1,ɪ,1,0,refrain,0.2099987304611374,26.12375429310285,1036.4920381535796,2120.144370831563,18,MH
120,56,rikkus,rik,0,i,3,1,refrain,0.1602189348886327,26.20899692083783,847.2018969661289,2111.880098184916,18,MH
121,57,rikkus,kus,1,u,2,0,ictus,0.0901690659373315,26.314752161002534,537.731670053571,1530.2047180305162,18,MH
122,58,"loogakirja,",loo,0,oː,2,1,x,0.2508127089750189,26.6207489184753,348.0392706106664,1768.4098903849522,18,MH
123,59,"loogakirja,",ga,1,a,1,0,x,0.1759632145711123,26.71338326359417,909.9338352167852,2141.5425450982443,18,MH
124,60,sadu,sa,0,a,1,1,x,0.2633673062637953,28.526420281450036,887.7520467786628,1926.720280795628,18,MH
125,61,sadu,du,1,ʊ,1,0,x,0.2251558349119236,28.657868647841127,928.7014661613772,1443.1461569343458,18,MH
126,62,rikkus,rik,0,i,3,1,x,0.1667006545265223,28.726807895072906,1064.7214065581472,1370.6445055630336,18,MH
127,63,rikkus,kus,1,u,2,0,off,0.1355427414509691,28.866789411348535,941.7221293110651,1458.1262071152769,18,MH
128,64,"saaniteki,",saa,0,aː,2,1,off,0.2668321233211017,29.14241461588871,978.6879590678484,1310.276927046763,18,MH
129,65,"saaniteki,",ni,1,i,1,0,off,0.1644798221009367,29.21342734975113,1197.6444066883348,1359.5927358786782,18,MH
130,66,ärmätus,är,0,æ,2,1,off,0.1702111557018994,30.925754343003025,518.0007722349708,1459.4726764447378,18,MH
131,67,ärmätus,mä,1,æ,2,0,off,0.1112601993396111,31.04435437962756,731.5076097402414,1946.2677430875076,18,MH
132,68,tõsta,tõs,0,ɵ,2,1,x,0.1638340347089837,33.753572968863885,899.3274742436981,1353.0347023233792,18,MH
133,69,tõsta,ta,1,a,1,0,refrain,0.1884013314471389,33.96805676614527,800.9285839761154,1444.668625267293,18,MH
134,70,"Anna,",an,0,a,2,1,refrain,0.1825261086643479,36.0181745126655,489.24280418301214,1672.0321409649366,18,MH
135,71,"Anna,","na,",1,a,2,0,refrain,0.1588723955208308,36.17205393340687,469.5718408185654,2075.336639279707,18,MH
136,72,sina,si,0,i,1,1,refrain,0.2512100663549574,36.41071091993361,1020.325969365968,2236.15634504576,18,MH
137,73,anna,an,0,a,2,1,ictus,0.2047887636813783,36.65785765713968,961.820187599944,1499.9889033942247,18,MH
138,74,anna,na,1,a,1,0,x,0.1803816250386347,36.82200139925401,890.8812042070188,1575.127424823566,18,MH
139,75,penki!,pen,0,e,2,1,x,0.1469727664168658,36.92312140515851,369.2855413806682,1983.103617513845,18,MH
140,76,penki!,ki!,1,i,2,0,ictus,0.1801284575092268,37.14615801930622,402.94531196250097,1714.3329938375766,18,MH
141,77,"Perenaine,",pe,0,e,1,0,x,0.2859933815868487,38.6363210146887,915.9459468957234,1543.4929650546385,18,MH
142,78,"Perenaine,",re,1,ɛ,1,0,x,0.2022806358841222,38.74927768330486,861.787159949199,1409.3926677986667,18,MH
143,79,"linnukene,",lin,0,i,2,1,refrain,0.1774004800863622,39.18192114024541,1153.151968024062,1634.0473966728184,18,MH
144,80,"linnukene,",nu,1,u,2,0,refrain,0.1006122293592,39.29839093654255,971.837823852997,1306.5277183215132,18,MH
145,81,tagant,ta,0,a,1,0,refrain,0.2130611915841882,41.15338196830754,865.0697907200285,2375.555338480966,18,MH
146,82,tagant,gant,1,ɑ,3,1,refrain,0.1273958004828301,41.21954585456266,900.6586504422793,2182.77824057953,18,MH
147,83,laudjas,laud,0,au,2,1,ictus?,0.229878220071356,41.47465122019598,828.4873407979328,1278.9936539443677,18,MH
148,84,laudjas,jas,1,a,2,0,ictus?,0.0611564531399011,41.50024915114455,681.8139819279412,1010.8070375173198,18,MH
149,85,"tasane,",ta,0,a,1,1,x?,0.2239115300444893,41.77168030281187,835.8313224545001,2189.8584315632797,18,MH
150,86,"tasane,",sa,1,ɑ,1,0,x?,0.2101312966260167,41.93229778058094,859.6317186934277,2177.2644443563263,18,MH
151,87,puhu,pu,0,u,1,1,x,0.2140475859896611,43.64621582831527,655.3656094526733,1542.9199332803707,18,MH
152,88,puhu,hu,1,ʊ,1,0,x,0.1943836376766086,43.79568655064415,695.130783653325,2072.1535889737893,18,MH
153,89,tuli,tu,0,u,1,1,refrain,0.268786042771751,44.02257334538864,928.1731111168818,1511.806685501268,18,MH
154,90,tuli,li,1,ɪ,1,0,refrain,0.1887291620748215,44.11151464930583,947.403966642454,1614.8337623402444,18,MH
155,91,"tubadesse,",tu,0,u,1,1,refrain,0.2209523468280423,44.28303841709119,934.2616213804898,1633.9775020735572,18,MH
156,92,"tubadesse,",ba,1,ɑ,1,0,refrain,0.1864285426361647,44.41219909829834,768.204499159223,1621.046561934407,18,MH
157,93,lõõtsu,lõõt,0,ɵɵ,2,1,refrain,0.219680900342297,46.21843968990382,1019.4536779385476,2150.191378047648,18,MH
158,94,lõõtsu,su,1,u,1,0,refrain,0.1629521323713021,46.34255969556768,691.3004127976193,2055.475179180756,18,MH
159,95,lõke,lõ,0,ɵ,2,1,ictus,0.1371088223620518,46.4444544610684,852.4903886064075,1622.6448507890532,18,MH
160,96,lõke,ke,1,e,1,0,x,0.1670923165453217,46.65670368083335,1084.7149704116264,1899.4421201161945,18,MH
161,97,"põrmandulle,",põr,0,ɵ,2,1,x,0.1537573473507052,46.77402142109224,824.1353332751538,2046.3163867358176,18,MH
162,98,"põrmandulle,",man,1,a,2,0,ictus,0.1451906317460611,46.92762125811937,736.1691062563416,2421.81941488468,18,MH
163,99,võta,võ,0,ɵ,2,1,x,0.1386841922413992,48.61532632595724,762.0303905880163,1806.7974322314776,18,MH
164,100,võta,ta,1,a,1,0,x,0.1701593481978989,48.82273577062053,747.1918928683207,1955.4819580594756,18,MH
165,101,pirdu,pir,0,i,2,1,off,0.1395619837468587,48.92518476190045,787.7330170265649,1641.1171454266494,18,MH
166,102,pirdu,du,1,u,1,0,off,0.1813665356826703,49.1510580552563,1153.8027189904517,1258.871233199539,18,MH
167,103,"pistussesta,",pis,0,i,2,1,off,0.1524719633695781,49.24888131898638,1135.5824945442232,1430.360614615125,18,MH
168,104,"pistussesta,",tus,1,u,2,0,off,0.1371525457951747,49.40731686608682,847.4641169383805,1611.3033223350967,18,MH
169,105,võta,võ,0,ɵ,2,1,off,0.1371088223620375,51.1621220014125,944.3250132138376,2122.829719468706,18,MH
170,106,võta,ta,1,a,1,0,off,0.2045753039536464,51.398755123544326,658.9550654291734,1631.1450761914132,18,MH
171,107,halgu,hal,0,a,2,1,ictus,0.1251743057228367,51.47643555868133,404.2558201532822,1477.8059348492502,18,MH
172,108,halgu,gu,1,u,1,0,ictus,0.1634105721839915,51.69452601827143,581.0590292881811,1053.0581893468702,18,MH
