,word,syll,foot,segment,quantity,stressed,ictus,duration,f1,f2,song,performer
467,"süia,","a,",1,a,2,0,ictus,0.2880562661573176,519.1099275359466,1163.4701051386417,9,MH
468,pääsukesel,pää,0,æː,2,1,off,0.4127551124110677,978.8994895731508,1998.8621521866207,9,MH
469,pääsukesel,su,1,u,2,0,off,0.2047525360779314,808.2877736542397,1221.8210258111335,9,MH
470,pääle,pää,0,æː,2,1,off,0.382602439738779,640.1468311958951,2066.368573467989,9,MH
471,pääle,le,1,e,1,0,off,0.2742276686718661,682.0044882572255,1998.881163354732,9,MH
473,tulla.,la.,1,a,2,0,off,0.3600490444473578,685.0274838857124,1641.7729682697195,9,MH
474,Jätän,jä,0,æ,2,1,ictus,0.1677190770112133,429.8834352390512,1757.1439137786945,9,MH
475,Jätän,tän,1,æ,2,0,ictus,0.2144479675435135,353.4301388938971,2025.426156298853,9,MH
476,päivä,päi,0,æi,2,1,ictus,0.3964152225011546,654.2282378173234,1075.92726012882,9,MH
477,päivä,vä,1,æ,1,0,ictus,0.2185460377089469,853.0769581663064,2174.5664507899,9,MH
478,"palada,",pa,0,a,1,1,ictus,0.327042558563452,773.8999573032256,1246.438075985544,9,MH
479,"palada,",la,1,ɑ,1,0,off,0.2328939432194268,808.770847417187,1597.0933999493898,9,MH
480,jätän,jä,0,æ,2,1,ictus,0.2059753464462197,466.2674081851304,2023.816938000724,9,MH
481,jätän,tän,1,æ,2,0,ictus,0.1975864166433005,429.0706484733263,1880.480184933188,9,MH
482,vihma,vih,0,i,2,1,off,0.2965757428416538,1032.4011912130509,1501.0452933619697,9,MH
483,vihma,ma,1,a,1,0,off,0.2566555840269053,663.3218072490218,1900.7143161265203,9,MH
484,"valada,",va,0,a,1,1,off,0.2774700751335395,536.3964870156962,2056.54829364374,9,MH
485,"valada,",la,1,ɑ,1,0,off,0.2623353437626186,640.4254436533607,2009.633574141084,9,MH
486,ligi,li,0,i,1,1,ictus,0.360679842228027,979.4094087048026,1842.0972907367984,9,MH
487,ligi,gi,1,ɪ,1,0,ictus,0.3056405556103811,759.0248311185202,1565.6092342746117,9,MH
488,maada,maa,0,aː,2,1,off,0.289636843001297,706.6020596092718,1453.0312578468884,9,MH
489,maada,da,1,a,1,0,ictus,0.2844661355763342,739.4189446676862,1398.4602195063328,9,MH
490,ligunema.,li,0,i,1,1,ictus,0.3060313812843844,784.6448240738827,1987.1261749105065,9,MH
491,ligunema.,gu,1,ʊ,1,0,off,0.3099859818956005,807.189989356172,2108.927744751584,9,MH
492,"Perenaine,",pe,0,e,1,0,ictus,0.3774150602144175,447.42342072613417,1655.8277628101848,9,MH
493,"Perenaine,",re,1,ɛ,1,0,off,0.2878589442313384,513.4916866796821,1679.2756000029913,9,MH
494,"linnukene,",lin,0,i,2,1,off,0.2712072045488227,645.6936555483035,1881.3271064705173,9,MH
495,"linnukene,",nu,1,u,2,0,off,0.2472149071814016,594.086230606339,2005.6820443743616,9,MH
496,tule,tu,0,u,1,1,ictus,0.3447123340063172,921.2010286401636,1619.6449485156948,9,MH
