,Unnamed: 0,word,syll,index,segment,quantity,stressed,ictus,duration,midpoint,f1,f2,euc,fileid,performer
18,18,käsud,kä,0,æ,1,1,off,0.2206604702149288,5.300044755520977,797.9998713633752,1585.346387482305,787.3465161189299,94,LK
19,19,käsud,sud,1,ʊ,2,0,off,0.1328247490614131,5.368599464713965,492.07180884798737,1206.3409724216413,714.2691635736539,94,LK
20,20,ja,ja,0,a,3,1,off,0.1241099773242631,5.89086507936508,710.1810078986849,1458.255476512402,748.0744686137169,94,LK
21,21,sõitsid,sõit,0,ɵii,2,1,ictus,0.1547510522903206,6.034476645744669,463.3389143467204,1385.697704973539,922.3587906268184,94,LK
22,22,sajad,sa,0,a,1,1,off,0.2301396109096298,6.389151515671534,527.931085323631,1202.689964296478,674.7588789728471,94,LK
23,23,sajad,jad,1,ɑ,2,0,off,0.0570646709945616,6.381015045247847,541.8025328772347,1197.9662817906835,656.1637489134488,94,LK
24,24,"sõnumida,",sõ,0,ɵ,1,1,ictus,0.2681825932633153,6.695194873192172,593.2125911242267,962.4189071780804,369.2063160538538,94,LK
25,25,"sõnumida,",num,1,ʊ,2,0,ictus,0.1472927291945005,6.744966659381831,672.0186033218416,1437.1815905204874,765.1629871986457,94,LK
26,26,Nüüd,nüüd,0,yyː,3,1,off,0.1897011195181335,8.528005321663828,618.6824572384849,1526.8359077865616,908.1534505480768,94,LK
27,27,tul´lid,tul´,0,ul,2,1,off,0.2088607668450564,8.820140303945573,818.3984683094641,1509.7511052787136,691.3526369692495,94,LK
28,28,tul´lid,lid,1,i,2,0,off,0.0811040091185262,8.824805578806371,821.8207686499463,1657.5163319354197,835.6955632854733,94,LK
29,29,san´dil,san´,0,a,2,1,off,0.1582133734057897,9.010201924798135,1067.7245913928996,2028.1512786337116,960.4266872408118,94,LK
30,30,"ajal,",a,0,a,1,0,ictus,0.2495957572863076,9.367490179534087,770.124693032729,1429.593404568102,659.4687115353729,94,LK
31,31,"ajal,","jal,",1,ɑl,3,1,ictus,0.1508348461298538,9.421808680670134,636.0319566689594,1228.6365953407064,592.604638671747,94,LK
32,32,kevadisel,ke,0,e,1,1,off,0.2411791213329053,9.639015233668088,724.1114821114037,1881.8702344480955,1157.758752336692,94,LK
33,33,kevadisel,va,1,ɑ,1,0,off,0.1682298809297435,9.718663894108278,751.1061269993924,1531.129462848733,780.0233358493407,94,LK
