,word,syll,index,segment,quantity,stressed,ictus,duration,midpoint,f1,f2
115,"pistussenna,",pis,0,i,2,1,refrain,0.16899096053420237,54.20881191309023,983.5022519884226,1526.087371933663
116,"pistussenna,",tus,1,u,2,0,refrain,0.13740792098195698,54.36156136849151,901.8141950195757,1589.0664158763923
117,võta,võ,0,ɵ,2,1,refrain,0.12726080567099984,56.04933889840315,516.1907519266805,2301.436820148135
118,võta,ta,1,a,1,0,refrain,0.18061108221547784,56.25903268821658,906.7939886974627,2167.767161218807
119,lõmmu,lõm,0,ɵ,2,1,refrain,0.20319724752937418,56.41887722520247,712.2587306873022,2058.459129858541
120,lõmmu,mu,1,u,1,0,ictus,0.15296811527109355,56.554090241174876,844.3668628636574,1647.972893339065
121,lõhna,lõh,0,ɵ,2,1,ictus,0.17904302123318416,56.706229532455865,1158.6779332244355,1400.742502545355
122,lõhna,na,1,a,1,0,x,0.18783682595578455,56.87501612097583,716.9960416636352,1561.7618027607436
123,"päälta,",pääl,0,ææ,3,1,x,0.17844498465798608,56.99196322593217,582.7381140940574,1144.2898538992704
124,"päälta,","ta,",1,a,2,0,ictus,0.17360212644247497,57.17257355789405,548.5838710811528,1557.2630131966287
125,lõmmu,lõm,0,ɵ,2,1,x,0.1670658949328896,58.81019103987007,483.47665202558676,1985.4414600670084
126,lõmmu,mu,1,u,1,0,refrain,0.1775470706061668,58.99586592168661,716.2601548040633,1764.160462151645
127,lõhna,lõh,0,ɵ,2,1,refrain,0.17971183473902386,59.12891834399563,1165.5432366608945,1534.9752727929758
128,lõhna,na,1,a,1,0,refrain,0.16066448934746802,59.27766431219328,1159.873937464622,1409.7714503529278
129,"päälta,",pääl,0,ææ,3,1,refrain,0.1682877902229194,59.41823062132958,925.4367229021003,1504.6146290828901
130,"päälta,","ta,",1,a,2,0,refrain,0.1509183440388,59.569960125563064,824.7540031403073,1409.2977306929652
131,võta,võ,0,ɵ,2,1,refrain,0.1380952167675389,60.8498352048058,360.7189346462943,1090.5428800042316
132,võta,ta,1,a,1,0,refrain,0.2012244587184,61.089529045338004,399.6879630015844,1281.1536272868443
133,roogu,roo,0,oo,2,1,refrain,0.23357549790259213,61.26933206441809,1032.1919229493433,2260.755516884108
134,roogu,gu,1,u,1,0,refrain,0.16867344333748235,61.37990822593048,965.8942598948722,1857.4356281030155
135,räästa,rääs,0,ææ,2,1,refrain,0.1455735401157341,61.47679984141339,1004.3185720409441,1791.5122665699628
136,räästa,ta,1,a,1,0,ictus,0.17557820417586356,61.68811192837084,830.1352171484226,1711.5595922861364
137,esta!,es,0,e,2,1,ictus,0.15387752725524706,61.77177205846557,786.0265691148331,1699.2424198640438
138,esta!,ta!,1,a,2,0,ictus,0.18007305268365315,61.975381464209015,826.6726071580258,1518.7457958373486
139,Viskan,vis,0,i,2,1,x,0.12625848390173644,63.270455737992336,1095.7949367458618,1488.7760571357037
140,Viskan,kan,1,a,2,0,ictus,0.11497744441869884,63.43117184806312,856.0185554596964,1922.2751248275576
141,sissi,sis,0,i,2,1,ictus,0.16990612100755698,63.609967977659764,796.7003078907011,2026.2784751052254
142,sissi,si,1,i,1,0,x,0.17074427912334045,63.79394101711269,632.9807361079744,1906.8314766675574
143,"viljaõnne,",vil,0,i,2,1,x,0.19197504028409185,63.94553609331866,776.1871870716263,2060.1001150147144
144,"viljaõnne,",ja,1,a,1,0,refrain,0.17258526739504987,64.13695423379168,1142.1588602071429,1357.360005513408
145,kahel,ka,0,a,1,1,refrain,0.23154946135628052,65.82878115134251,372.93535849750555,1496.5090558339566
146,kahel,hel,1,ɛ,2,0,refrain,0.11345633500036456,65.87034960670086,401.09069349041846,1268.3118391253988
147,karjaõnne.,kar,0,a,2,1,refrain,0.17899617365426934,66.36694273227917,1131.2864899617,2001.118663373553
148,karjaõnne.,ja,1,a,1,0,ictus,0.1371088223620518,66.5243070508944,429.81359584726926,1762.769884863104
149,tuba,tu,0,u,1,1,ictus,0.23698899559502706,68.5359169738558,390.9329697138833,711.4573256106476
150,tuba,ba,1,ɑ,1,0,ictus,0.1756394034298694,68.64045967860717,392.6568733283067,668.6637196525517
151,puhtas,puh,0,u,2,1,x,0.1302040615236706,68.73856461811408,517.8333087814904,1237.3849084396816
152,puhtas,tas,1,a,2,0,x,0.08160756525651891,68.86110755119812,473.35568458670946,1933.6862202227178
153,"pestu,",pes,0,e,2,1,refrain,0.1213265118743152,69.02964353113029,465.2828950929994,2645.5294648192125
154,"pestu,","tu,",1,u,2,0,refrain,0.15809910553187478,69.2421880723686,940.7361829318976,1543.2845609597896
155,sängi,sän,0,æ,2,1,refrain,0.1747244302540878,70.89926400084133,350.41735783379613,1362.4445101092929
156,ästi,äs,0,æ,2,1,refrain,0.1420407943894304,71.15776254560338,566.4497722687927,1406.1226917218107
157,ästi,ti,1,i,1,0,refrain,0.16410078308913967,71.36999519029742,590.7055577770309,2131.5971500609903
158,om,om,0,o,3,1,ictus,0.153379413798433,73.21153566379844,393.863381595979,1817.1126439543314
159,elle,el,0,e,2,1,x,0.17557820417584935,73.34979239363848,1076.0764971958106,1757.8453811861323
