Filename,label,segment,syllable, h1 , h2 , h1-h2 
77,off,o,1,18.04576827,36.68649361,-18.64072534
77,off,a,1,21.51793529,39.45394782,-17.93601253
77,off,eː,1,42.23135256,36.3181712,5.913181366
77,off,a,1,40.07250741,44.75813998,-4.685632572
77,off,a,1,12.06742934,36.35946958,-24.29204024
77,off,e,1,24.13927067,39.68740942,-15.54813875
92,off,eeː,1,-25.84680398,8.201920034,-34.04872402
92,off,ul,1,13.92813325,3.361424636,10.56670861
92,off,ɵi,1,-10.63583568,11.04880986,-21.68464554
92,off,iiː,1,-7.722801209,12.80473118,-20.52753239
92,off,uiː,1,-19.04144997,2.720841248,-21.76229122
94,off,a,1,-1.523090282,3.930803018,-5.4538933
94,off,eil,1,-9.305257802,8.54334587,-17.84860367
94,off,e,1,5.762844274,11.78988421,-6.027039934
94,off,iː,1,5.065360991,8.67665515,-3.611294158
94,off,æi,1,-10.04368199,1.94845453,-11.99213652
94,off,æ,1,-13.01370357,0.708309554,-13.72201312
94,off,ɵii,1,-27.28327668,-0.716508926,-26.56676775
94,off,a,1,1.796498883,-1.664069085,3.460567968
94,off,ɵ,1,-10.93436719,-3.559854449,-7.374512739
94,off,ul,1,711,711,711
94,off,a,1,1.381213859,8.674524576,-7.293310717
94,off,a,1,10.22151718,9.621233322,0.600283856
94,off,e,1,-12.82024091,-3.619960504,-9.200280402
94,off,a,1,5.123618531,7.199452459,-2.075833928
94,off,i,1,8.29019532,14.40526799,-6.115072671
94,off,iː,1,-6.952397538,10.52774118,-17.48013872
94,off,ae,1,2.506053104,11.2584158,-8.752362693
9,ictus,ɑ,2,-15.9362715,-4.213232474,-11.72303902
9,ictus,eiː,2,-9.924773353,9.383300925,-19.30807428
9,ictus,ja,2,-7.2173195,11.85749867,-19.07481817
9,ictus,a,2,-28.59672404,-10.48555773,-18.11116631
9,ictus,æ,2,-16.29395527,-0.954359335,-15.33959593
9,ictus,ɑ,2,-13.86806011,2.179350319,-16.04741043
9,ictus,a,2,-36.04889622,-9.763771054,-26.28512517
9,ictus,ɑ,2,-44.57987449,-3.812931851,-40.76694264
9,ictus,ɪ,2,-11.52684785,2.993706128,-14.52055398
9,ictus,a,2,-17.81451533,-2.387455962,-15.42705937
9,ictus,ɛ,2,-9.586896193,4.228517797,-13.81541399
9,ictus,ʊ,2,-10.72580974,8.274922151,-19.0007319
